select_box,parent_product_id,product_id,search_term,cluster_id,inf_config,kw-prediction_iteration_selected,kw-target_rank,kw-estimated_additional_sales,kw-estimated_additional_loss,kw-total_soft_score,kw-total_hard_score,sr_rc-prediction_iteration_selected,sr_rc-target_rank,sr_rc-estimated_additional_sales,sr_rc-estimated_additional_loss,sr_rc-total_soft_score,sr_rc-total_hard_score,kw_sr_rc-prediction_iteration_selected,kw_sr_rc-target_rank,kw_sr_rc-estimated_additional_sales,kw_sr_rc-estimated_additional_loss,kw_sr_rc-total_soft_score,kw_sr_rc-total_hard_score,pr-prediction_iteration_selected,pr-target_rank,pr-estimated_additional_sales,pr-estimated_additional_loss,pr-total_soft_score,pr-total_hard_score,total_soft_score_product,color_code,biz_configuration_id,session_sequence,session_id,optimization_metric
FALSE,B0DHRSK1GR,B0D5DJ7V4P,fungus gnat traps for house indoor,2,kw,28,1,1147,0,11,-1,100,32,4,6315,0,-3,26,1,1147,914,0,-2,24,40,0,0,0,-3,9,1,90,2,6aa4f946-ff42-4749-8463-1ff07145ccbb,items
FALSE,B0DHRSK1GR,B0D5DJ7V4P,gnat traps for house indoor plants,2,kw,71,17,258,0,1,-2,100,86,4,6314,0,-3,100,9,659,6314,0,-2,25,94,0,0,0,-3,9,1,90,2,6aa4f946-ff42-4749-8463-1ff07145ccbb,items
FALSE,B0DHRSK1GR,B0D5DJ7V4P,gnat traps,3,pr,7,1,78148,0,1092,0,72,1,77089,2669,0,-1,6,1,78148,182,6,-1,25,7,222,0,3,-1,9,1,90,2,6aa4f946-ff42-4749-8463-1ff07145ccbb,items
FALSE,B0DHRSK1GR,B0D5DJ7V4P,gnat trap,3,pr,6,1,69079,0,961,0,73,1,69079,2711,0,-1,5,1,69079,145,6,-1,25,7,177,0,2,-1,9,1,90,2,6aa4f946-ff42-4749-8463-1ff07145ccbb,items
FALSE,B0DHRSK1GR,B0D5DJ7V4P,gnats killer indoor trap,3,pr,6,1,28150,0,372,-1,96,1,28150,4159,0,-2,6,1,28150,182,2,-2,24,9,32,0,0,-3,9,1,90,2,6aa4f946-ff42-4749-8463-1ff07145ccbb,items
FALSE,B0DHRSK1GR,B0D5DJ7V4P,gnats trap,3,pr,8,1,5784,0,78,-1,97,1,5784,4352,0,-2,8,1,5784,255,0,-2,25,9,9,0,0,-3,9,1,90,2,6aa4f946-ff42-4749-8463-1ff07145ccbb,items
FALSE,B0DHRSK1GR,B0D5DJ7V4P,fungus gnat trap,3,sr_rc,66,1,22917,0,83,-1,100,57,23,6310,0,-3,58,1,22917,2112,0,-2,24,65,0,0,0,-3,9,1,90,2,6aa4f946-ff42-4749-8463-1ff07145ccbb,items
FALSE,B0DHRSK1GR,B0D5DJ7V4P,fungus gnat traps,3,sr_rc,80,1,2936,0,9,-1,100,65,2,6314,0,-3,70,1,2936,2590,0,-2,24,73,0,0,0,-3,9,1,90,2,6aa4f946-ff42-4749-8463-1ff07145ccbb,items
TRUE,B0DHRSK1GR,B0D5DJ7V4P,gnat and fruit fly traps,3,sr_rc,5,1,760,0,12,0,84,1,760,3214,0,-1,5,1,760,146,0,-1,24,8,2,0,0,-2,9,1,90,2,6aa4f946-ff42-4749-8463-1ff07145ccbb,items
FALSE,B0DHRSK1GR,B0D5DJ7V4P,gnat sticky traps,3,sr_rc,41,1,7657,0,41,-1,100,43,14,6314,0,-3,38,1,7657,1358,0,-2,24,51,0,0,0,-3,9,1,90,2,6aa4f946-ff42-4749-8463-1ff07145ccbb,items
FALSE,B0DHRSK1GR,B0D5DJ7V4P,gnats sticky traps,3,sr_rc,98,40,20,0,0,-3,100,122,0,6314,0,-3,98,32,28,4632,0,-3,24,130,0,0,0,-3,9,1,90,2,6aa4f946-ff42-4749-8463-1ff07145ccbb,items
FALSE,B0DHRSK1GR,B0D5DJ7V4P,plant gnat sticky traps,3,sr_rc,100,87,16,0,0,-3,100,162,1,6314,0,-3,100,79,20,6314,0,-3,24,170,0,0,0,-3,9,1,90,2,6aa4f946-ff42-4749-8463-1ff07145ccbb,items
FALSE,B0DHRSK1GR,B0D5DJ7V4P,plant gnat traps,3,sr_rc,91,36,15,0,0,-3,100,114,0,6315,0,-3,91,29,22,3633,0,-3,24,122,0,0,0,-3,9,1,90,2,6aa4f946-ff42-4749-8463-1ff07145ccbb,items
FALSE,B0DHRSK1GR,B0D5DJ7V4P,sticky traps for gnats,3,sr_rc,86,31,173,0,0,-2,100,106,4,6313,0,-3,86,24,256,3319,0,-2,25,114,0,0,0,-3,9,1,90,2,6aa4f946-ff42-4749-8463-1ff07145ccbb,items
FALSE,B0DHRSK1GR,B0D5DJ7V4P,sticky traps gnats,3,sr_rc,74,1,1082,0,5,0,100,72,1,6315,0,-2,65,1,1082,2389,0,-1,24,80,0,0,0,-2,9,1,90,2,6aa4f946-ff42-4749-8463-1ff07145ccbb,items
FALSE,B0DHRSK1GR,B0D5DJ7V4P,veneno para mosquitos de fruta,4,pr,3,1,824,0,15,0,13,1,1001,437,0,-1,3,1,1068,73,0,-1,24,2,79,0,1,-1,9,1,90,2,6aa4f946-ff42-4749-8463-1ff07145ccbb,items
FALSE,B0DHRSK1GR,B0D5DJ7V4P,fruit fly killer,5,pr,9,1,65549,0,832,-1,97,1,65549,4348,0,-2,8,1,65549,255,3,-2,24,9,73,0,1,-2,9,1,90,2,6aa4f946-ff42-4749-8463-1ff07145ccbb,items
FALSE,B0DHRSK1GR,B0D5DJ7V4P,gnats and fruit fly killer indoor,5,pr,3,1,9498,0,156,0,60,1,9498,2191,0,-1,3,1,9498,73,2,-1,24,6,32,0,1,-2,9,1,90,2,6aa4f946-ff42-4749-8463-1ff07145ccbb,items
FALSE,B0DHRSK1GR,B0D5DJ7V4P,fruit flies killer indoor,5,pr,9,1,10150,0,130,-1,60,1,10150,2191,0,-2,8,1,10150,255,1,-2,24,6,28,0,0,-3,9,1,90,2,6aa4f946-ff42-4749-8463-1ff07145ccbb,items
FALSE,B0DHRSK1GR,B0D5DJ7V4P,best indoor fruit fly killer,5,pr,15,1,12514,0,206,0,96,1,12514,4159,0,-1,13,1,11874,437,0,-1,24,9,13,0,0,-2,9,1,90,2,6aa4f946-ff42-4749-8463-1ff07145ccbb,items
FALSE,B0DHRSK1GR,B0D5DJ7V4P,fruit fly killer indoor,5,pr,13,1,6063,0,89,0,83,1,6063,3164,0,-1,12,1,6063,401,0,-1,26,8,8,0,0,-2,9,1,90,2,6aa4f946-ff42-4749-8463-1ff07145ccbb,items
FALSE,B0DHRSK1GR,B0D5DJ7V4P,best fruit fly drain killer,5,sr_rc,32,1,297,0,2,-1,100,12,7,6315,0,-3,28,1,297,988,0,-2,24,20,0,0,0,-3,9,1,90,2,6aa4f946-ff42-4749-8463-1ff07145ccbb,items
FALSE,B0DHRSK1GR,B0D5DJ7V4P,best fruit fly killer indoor,5,sr_rc,21,1,2234,0,18,-1,100,3,386,6314,0,-2,19,1,2234,657,0,-2,24,12,1,0,0,-3,9,1,90,2,6aa4f946-ff42-4749-8463-1ff07145ccbb,items
FALSE,B0DHRSK1GR,B0D5DJ7V4P,fly killer,5,sr_rc,100,65,257,0,0,-1,97,137,11,4348,0,-3,100,57,333,6310,0,-2,21,145,0,0,0,-3,9,1,90,2,6aa4f946-ff42-4749-8463-1ff07145ccbb,items
FALSE,B0DHRSK1GR,B0D5DJ7V4P,fruit flies killer,5,sr_rc,7,1,1588,0,26,-1,83,1,1588,3165,0,-2,7,1,1588,218,0,-2,24,8,2,0,0,-3,9,1,90,2,6aa4f946-ff42-4749-8463-1ff07145ccbb,items
FALSE,B0DHRSK1GR,B0D5DJ7V4P,fruit fly drain killer,5,sr_rc,32,1,6873,0,73,-1,100,13,124,6314,0,-2,27,1,6873,951,0,-2,25,21,1,0,0,-3,9,1,90,2,6aa4f946-ff42-4749-8463-1ff07145ccbb,items
FALSE,B0DHRSK1GR,B0D5DJ7V4P,fruit fly killer drain,5,sr_rc,39,1,1862,0,15,-1,100,16,24,6315,0,-3,34,1,1862,1210,0,-2,25,24,0,0,0,-3,9,1,90,2,6aa4f946-ff42-4749-8463-1ff07145ccbb,items
FALSE,B0DHRSK1GR,B0D5DJ7V4P,fruit fly spray killer indoor,5,sr_rc,33,10,130,0,1,-1,100,21,24,6314,0,-3,100,1,2396,6314,0,-2,24,29,0,0,0,-3,9,1,90,2,6aa4f946-ff42-4749-8463-1ff07145ccbb,items
FALSE,B0DHRSK1GR,B0D5DJ7V4P,nat trap,6,pr,4,1,17569,0,267,0,61,1,17569,2230,0,-1,4,1,17569,109,2,-1,24,6,59,0,1,-1,9,1,90,2,6aa4f946-ff42-4749-8463-1ff07145ccbb,items
FALSE,B0DHRSK1GR,B0D5DJ7V4P,nat traps for indoors,6,pr,5,1,20277,0,294,0,73,1,20277,2711,0,-1,5,1,20277,145,2,-1,25,7,58,0,1,-1,9,1,90,2,6aa4f946-ff42-4749-8463-1ff07145ccbb,items
FALSE,B0DHRSK1GR,B0D5DJ7V4P,nats trap,6,pr,4,1,5651,0,73,-1,39,1,5651,1395,0,-2,4,1,5651,109,1,-2,24,4,62,0,1,-2,9,1,90,2,6aa4f946-ff42-4749-8463-1ff07145ccbb,items
FALSE,B0DHRSK1GR,B0D5DJ7V4P,nats and flying insects traps indoor,6,pr,5,1,8385,0,114,-1,100,2,4324,6314,0,-2,5,1,8385,146,1,-2,25,10,8,0,0,-3,9,1,90,2,6aa4f946-ff42-4749-8463-1ff07145ccbb,items
FALSE,B0DHRSK1GR,B0D5DJ7V4P,nat traps,6,pr,4,1,2357,0,32,0,50,1,2357,1808,0,-1,4,1,2357,109,0,-1,24,5,15,0,0,-2,9,1,90,2,6aa4f946-ff42-4749-8463-1ff07145ccbb,items
FALSE,B0DHRSK1GR,B0D5DJ7V4P,fungus nat trap,6,sr_rc,66,1,933,0,5,-1,100,60,1,6315,0,-3,57,1,933,2076,0,-2,24,68,0,0,0,-3,9,1,90,2,6aa4f946-ff42-4749-8463-1ff07145ccbb,items
FALSE,B0DHRSK1GR,B0D5DJ7V4P,indoor nat trap,6,sr_rc,7,1,1512,0,35,-1,100,4,236,6315,0,-2,7,1,1512,218,0,-2,25,12,1,0,0,-3,9,1,90,2,6aa4f946-ff42-4749-8463-1ff07145ccbb,items
FALSE,B0DHRSK1GR,B0D5DJ7V4P,nat fly trap,6,sr_rc,5,1,1367,0,23,-1,100,2,412,6315,0,-2,5,1,1367,146,0,-2,24,11,1,0,0,-3,9,1,90,2,6aa4f946-ff42-4749-8463-1ff07145ccbb,items
FALSE,B0DHRSK1GR,B0D5DJ7V4P,nat traps for indoors plants,6,sr_rc,42,1,1596,0,11,0,100,55,2,6315,0,-2,37,1,1556,1321,0,-1,25,63,0,0,0,-2,9,1,90,2,6aa4f946-ff42-4749-8463-1ff07145ccbb,items
FALSE,B0DHRSK1GR,B0D5DJ7V4P,fruitfly trap indoor,7,pr,3,1,4071,0,65,-1,38,1,4071,1358,0,-2,3,1,4071,73,1,-2,24,4,47,0,1,-2,9,1,90,2,6aa4f946-ff42-4749-8463-1ff07145ccbb,items
FALSE,B0DHRSK1GR,B0D5DJ7V4P,anti fruit fly,8,pr,8,1,16946,0,224,0,75,1,16946,2799,0,-1,7,1,16946,218,1,-1,24,7,49,0,1,-1,9,1,90,2,6aa4f946-ff42-4749-8463-1ff07145ccbb,items
FALSE,B0DHRSK1GR,B0D5DJ7V4P,anti fruit fly trap,8,pr,4,1,992,0,14,0,37,1,977,1321,0,-1,4,1,992,109,0,-1,33,4,8,0,0,-2,9,1,90,2,6aa4f946-ff42-4749-8463-1ff07145ccbb,items
FALSE,B0DHRSK1GR,B0D5DJ7V4P,nat catcher for indoors,9,pr,5,1,14610,0,208,0,73,1,14610,2714,0,-1,5,1,14610,146,1,-1,25,7,35,0,0,-2,9,1,90,2,6aa4f946-ff42-4749-8463-1ff07145ccbb,items
FALSE,B0DHRSK1GR,B0D5DJ7V4P,nat catcher for indoors plants,9,sr_rc,56,1,898,0,6,0,100,47,1,6315,0,-2,49,1,898,1771,0,-1,24,56,0,0,0,-2,9,1,90,2,6aa4f946-ff42-4749-8463-1ff07145ccbb,items
FALSE,B0DHRSK1GR,B0D5DJ7V4P,fruit fly catcher indoor,10,pr,5,1,2446,0,40,0,37,1,2446,1321,0,-1,5,1,2446,146,0,-1,25,4,20,0,0,-2,9,1,90,2,6aa4f946-ff42-4749-8463-1ff07145ccbb,items
FALSE,B0DHRSK1GR,B0D5DJ7V4P,fruit fly catcher,10,pr,11,1,10943,0,157,0,73,1,10943,2714,0,-1,10,1,10943,328,0,-1,24,7,24,0,0,-2,9,1,90,2,6aa4f946-ff42-4749-8463-1ff07145ccbb,items
FALSE,B0DHRSK1GR,B0D5DJ7V4P,fly catcher,10,sr_rc,79,33,401,0,2,0,100,85,19,6313,0,-2,79,26,590,2975,0,-1,24,94,0,0,0,-2,9,1,90,2,6aa4f946-ff42-4749-8463-1ff07145ccbb,items
FALSE,B0DHRSK1GR,B0D5DJ7V4P,fly catcher indoor,10,sr_rc,50,46,250,0,2,0,100,74,34,6310,0,-2,50,42,309,1806,0,-1,25,82,0,0,0,-2,9,1,90,2,6aa4f946-ff42-4749-8463-1ff07145ccbb,items
FALSE,B0DHRSK1GR,B0D5DJ7V4P,indoor fly catcher,10,sr_rc,42,1,7030,0,72,0,100,24,43,6314,0,-2,38,1,7030,1358,0,-1,24,32,0,0,0,-2,9,1,90,2,6aa4f946-ff42-4749-8463-1ff07145ccbb,items
FALSE,B0DHRSK1GR,B0D5DJ7V4P,nat killer,11,pr,8,1,9812,0,153,0,73,1,9812,2714,0,-1,8,1,9812,255,0,-1,25,7,20,0,0,-2,9,1,90,2,6aa4f946-ff42-4749-8463-1ff07145ccbb,items
FALSE,B0DHRSK1GR,B0D5DJ7V4P,nat killer for inside house,11,pr,4,1,2173,0,44,-1,60,1,2173,2192,0,-2,4,1,2173,109,0,-2,25,6,6,0,0,-3,9,1,90,2,6aa4f946-ff42-4749-8463-1ff07145ccbb,items
FALSE,B0DHRSK1GR,B0D5DJ7V4P,nat killer indoor,11,pr,7,1,4366,0,58,-1,85,1,4366,3266,0,-2,6,1,4366,182,0,-2,24,8,6,0,0,-3,9,1,90,2,6aa4f946-ff42-4749-8463-1ff07145ccbb,items
FALSE,B0DHRSK1GR,B0D5DJ7V4P,nats killer,11,sr_rc,9,1,3901,0,87,0,98,1,3901,4632,0,-1,9,1,3901,291,0,-1,27,9,2,0,0,-2,9,1,90,2,6aa4f946-ff42-4749-8463-1ff07145ccbb,items
FALSE,B0DHRSK1GR,B0D5DJ7V4P,how to get rid of fruit flies,12,pr,9,1,7910,0,110,0,84,1,7910,3214,0,-1,8,1,7910,255,0,-1,24,8,18,0,0,-2,9,1,90,2,6aa4f946-ff42-4749-8463-1ff07145ccbb,items
TRUE,B0DHRSK1GR,B0D5DJ7V4P,get rid of fruit flies,12,sr_rc,6,1,1315,0,21,0,61,1,1315,2231,0,-1,6,1,1315,182,0,-1,25,6,5,0,0,-2,9,1,90,2,6aa4f946-ff42-4749-8463-1ff07145ccbb,items
FALSE,B0DHRSK1GR,B0D5DJ7V4P,fly punch fruit fly trap,13,pr,4,1,1471,0,20,-1,37,1,1471,1321,0,-2,4,1,1471,109,0,-2,24,4,23,0,0,-3,9,1,90,2,6aa4f946-ff42-4749-8463-1ff07145ccbb,items
FALSE,B0DHRSK1GR,B0D5DJ7V4P,knit catchers indoor,14,pr,13,1,20571,0,226,0,95,1,20571,4010,0,-1,12,1,20571,400,0,-1,24,9,26,0,0,-2,9,1,90,2,6aa4f946-ff42-4749-8463-1ff07145ccbb,items
FALSE,B0DHRSK1GR,B0D5DJ7V4P,knat trap,15,pr,5,1,2776,0,60,-1,73,1,2776,2715,0,-2,5,1,2776,146,0,-2,25,7,7,0,0,-3,9,1,90,2,6aa4f946-ff42-4749-8463-1ff07145ccbb,items
FALSE,B0DHRSK1GR,B0D5DJ7V4P,knat traps,15,sr_rc,5,1,1278,0,17,-1,73,1,1278,2715,0,-2,5,1,1278,146,0,-2,24,7,3,0,0,-3,9,1,90,2,6aa4f946-ff42-4749-8463-1ff07145ccbb,items
FALSE,B0DHRSK1GR,B0D5DJ7V4P,fruit fly spray,16,pr,16,1,20903,0,272,-1,100,6,1758,6313,0,-2,14,1,20903,474,1,-2,24,14,9,0,0,-3,9,1,90,2,6aa4f946-ff42-4749-8463-1ff07145ccbb,items
FALSE,B0DHRSK1GR,B0D5DJ7V4P,spray for fruit flies,16,sr_rc,15,1,911,0,16,-1,100,5,96,6315,0,-2,13,1,888,437,0,-2,25,13,0,0,0,-3,9,1,90,2,6aa4f946-ff42-4749-8463-1ff07145ccbb,items
FALSE,B0DHRSK1GR,B0D5DJ7V4P,apple gnat trap,17,pr,3,1,544,0,8,-1,34,1,544,1210,0,-2,3,1,544,73,0,-2,24,4,6,0,0,-3,9,1,90,2,6aa4f946-ff42-4749-8463-1ff07145ccbb,items
FALSE,B0DHRSK1GR,B0D5DJ7V4P,apple fly trap,17,sr_rc,5,1,707,0,11,-1,60,1,707,2192,0,-2,5,1,707,146,0,-2,24,6,3,0,0,-3,9,1,90,2,6aa4f946-ff42-4749-8463-1ff07145ccbb,items
FALSE,B0DHRSK1GR,B0D5DJ7V4P,gnat apple trap,17,sr_rc,4,1,1690,0,31,-1,63,1,1690,2310,0,-2,4,1,1690,109,0,-2,25,8,3,0,0,-3,9,1,90,2,6aa4f946-ff42-4749-8463-1ff07145ccbb,items
FALSE,B0DHRSK1GR,B0D5DJ7V4P,gnat catchers indoor,18,pr,7,1,13239,0,182,-1,100,4,2027,6314,0,-2,6,1,13239,182,1,-2,25,12,7,0,0,-3,9,1,90,2,6aa4f946-ff42-4749-8463-1ff07145ccbb,items
